,X,Y,Z,NX,NY,NZ,C,KCL
218,-6.731516,9.242052,-0.0575,-0.0322857665521,0.0411389201753,0.998631673103,0.023971704912,1
219,-6.691477,9.232042,-0.0675,-0.0434289305166,0.0173546813309,0.998905772849,0.02660147086,1
220,-6.491526,9.26201,-0.0375,-0.0568414460903,0.0870966753265,0.994576904595,0.009851369123,1
221,-6.321482,9.252001,-0.0475,0.12767585162,0.11062274155,0.985627458001,0.00566029059131,1
222,-6.171519,9.232042,-0.0675,0.142969409458,0.098860234048,0.984777336296,0.00490767871382,1
223,-6.031504,9.242052,-0.0575,-0.00769695676057,-0.0171050701292,0.999824071241,0.0237859052974,1
224,-5.921519,9.29204,-0.0075,-0.106713091469,-0.00467324847063,0.994278872781,0.0384066004034,1
225,-5.751475,9.311998,0.0125,-0.0485925063446,-0.163121862936,0.98540855799,0.0445260879655,1
226,-5.601511,9.202013,-0.0975,0.0546259683156,-0.00804486647039,0.998474478246,0.0400013193389,1
227,-5.431467,9.182054,-0.1175,-0.185010927577,0.0746473636672,0.979897304708,0.00939010474998,1
228,-5.341501,9.252001,-0.0475,-0.251865661778,0.0548620247485,0.966205902827,0.00711220625753,1
229,-5.151499,9.27202,-0.0275,-0.0919079564798,0.0761098209651,0.992854582851,0.0228478902822,1
230,-4.991526,9.222032,-0.0775,0.00358844922027,-0.0362928817524,0.999334753607,0.0168195745348,1
231,-4.87147,9.27202,-0.0275,0.0853763567825,-0.0631440344467,0.994345869714,0.0169941573831,1
232,-4.641489,9.212023,-0.0875,0.0571723346909,-0.0367844309457,0.99768643861,0.029655513596,1
233,-4.521494,9.192003,-0.1075,-0.105995652877,0.0860693616017,0.990634638282,0.0254177904946,1
234,-4.411509,9.30205,0.0025,-0.199800944648,0.0156399185104,0.979711679764,0.0196352566009,1
235,-4.271494,9.26201,-0.0375,0.0339184925371,0.0291580266176,0.998999171845,0.0273781538401,1
236,-4.111521,9.222032,-0.0775,0.123786001544,-0.0589609636283,0.990555718064,0.00821551058984,1
237,-3.961497,9.252001,-0.0475,-0.0420575479545,-0.0833037891428,0.995636299747,0.0107015871082,1
238,-3.801523,9.242052,-0.0575,-0.00560046230398,-0.0415701298735,0.999119892267,0.0171371876396,1
239,-3.661509,9.232042,-0.0675,-0.0655045743306,0.107998137445,0.991990702099,0.00510289570736,1
240,-3.541514,9.242052,-0.0575,0.0246736379217,0.0423049638966,0.998800030848,0.010039265529,1
241,-3.37147,9.192003,-0.1075,0.0448983026778,-0.023755318168,0.998709080401,0.00859224850018,1
242,-3.211497,9.242052,-0.0575,-0.114668904529,0.026375000034,0.99305357444,0.0163934222177,1
243,-3.081492,9.232042,-0.0675,0.0257869577766,0.0185274955893,0.999495755227,0.018800612908,1
244,-2.881479,9.212023,-0.0875,-0.00886311678501,0.0560709752862,0.998387445279,0.0294766410795,1
245,-2.791514,9.27202,-0.0275,-0.0544759153521,0.0418103463001,0.997639348457,0.0233303777939,1
246,-2.591501,9.27202,-0.0275,-0.0183584790446,-0.0766712425541,0.996887399265,0.0172004289501,1
247,-2.501475,9.232042,-0.0675,-0.0728112003193,-0.0358515204781,0.996701157613,0.012547238393,1
248,-2.281504,9.26201,-0.0375,0.0714678264912,-0.0328214356752,0.996902755105,0.0116617788462,1
249,-2.141489,9.212023,-0.0875,0.00321421880078,0.0565076426857,0.998396992742,0.010385156468,1
250,-2.031504,9.252001,-0.0475,0.00719852271033,0.0357608239948,0.999334450891,0.00939213828238,1
251,-1.861521,9.232042,-0.0675,0.0347781116978,0.0555913642768,0.997847725439,0.00900024991748,1
252,-1.701487,9.252001,-0.0475,-0.0387078312218,-0.110953888546,0.993071466924,0.0113125155601,1
253,-1.491526,9.27202,-0.0275,-0.00267118384174,-0.175555305129,0.984465946398,0.0168429777618,1
254,-1.441477,9.26201,-0.0375,-0.00267118384174,-0.175555305129,0.984465946398,0.0168429777618,1
255,-1.231516,9.252001,-0.0475,0.0632337296284,0.0291945686539,0.997571637828,0.0147674411149,1
256,-1.101511,9.27202,-0.0275,0.0868784471173,-0.00871095653448,0.996180834318,0.0168018674579,1
257,-0.941477,9.27202,-0.0275,-0.0987716070766,0.000962670985629,0.995109663756,0.0282191680131,1
258,-0.801523,9.252001,-0.0475,-0.0466565071276,-0.0417155523907,0.998039569873,0.0172930935108,1
259,-0.641489,9.222032,-0.0775,-0.0393657893025,0.00941642377568,0.999180497005,0.00480609186405,1
260,-0.541514,9.252001,-0.0475,-0.0368118340724,-0.0103847778368,0.999268254905,0.00562973353698,1
261,-0.391489,9.26201,-0.0375,0.00610870117627,0.0507559629875,0.998692403091,0.0175023213433,1
262,-0.171519,9.30205,0.0025,-0.0121218464251,0.038674918126,0.999178318193,0.0214368667572,1
263,-0.091501,9.26201,-0.0375,-0.0859489173025,0.0489991095646,0.995093900532,0.0165134642128,1
264,0.158499,9.26201,-0.0375,0.0199793599857,0.00768397132995,0.999770864628,0.00778021482059,1
265,-9.671519,9.142015,-0.0075,0.0942088793277,0.0580047098812,0.993861228083,0.0153981383174,1
