,X,Y,Z,NX,NY,NZ,C
34,-4.731516,9.662035,-0.0875,0.317832988335,-0.00304337163065,0.948141829799,0.0168340359933
35,-4.481516,9.722032,-0.0275,0.037103219087,0.21648440834,-0.975580776809,0.0636976872056
36,-4.361521,9.662035,-0.0875,-0.0319325553645,-0.377503966927,0.925457220439,0.0494669471037
37,-4.261484,9.78203,0.0325,0.132626215198,-0.451548172656,0.882334706794,0.0425558226082
38,-4.071482,9.642015,-0.1075,0.161181305598,0.141286643403,-0.97675926979,0.0243690328342
39,-3.891489,9.752001,0.0025,0.167381240301,0.264833784858,-0.949656036043,0.0143582011154
40,-3.761484,9.732042,-0.0175,0.0470088588902,-0.239497184555,0.969758354321,0.0569963736882
41,-3.611521,9.672045,-0.0775,0.489811924458,0.578864036213,0.65192078218,0.000438355383733
42,-3.551523,9.652025,-0.0975,-0.455888931328,-0.601434500141,-0.656080653832,0.00161148152738
43,-3.331492,9.742052,-0.0075,0.0864990781777,0.13433041189,-0.987154116598,0.0190180635758
44,-3.151499,9.712023,-0.0375,-0.0442144073557,0.301849506723,-0.952329754588,0.00080169718995
45,-3.031504,9.722032,-0.0275,0.133405157618,-0.287317596249,0.948499690462,0.0046646888492
46,-2.911509,9.662035,-0.0875,0.117488012727,0.297715878624,-0.94739739417,0.0165480298263
47,-2.771494,9.742052,-0.0075,0.0277697954567,0.24091934168,-0.970147777024,0.0180473897765
48,-2.62147,9.702013,-0.0475,0.10376998616,0.0250117153366,0.994286781602,0.0296105000481
49,-2.431467,9.672045,-0.0775,0.0108238409735,0.0378019294593,-0.999226630247,0.0352433138957
50,-2.351511,9.732042,-0.0175,-0.102786627778,0.0244100770619,-0.99440387031,0.0304468981372
51,-2.111521,9.682054,-0.0675,0.112248802381,-0.0146428610315,-0.993572238433,0.0122864763514
52,-2.021494,9.732042,-0.0175,-0.20081695206,-0.0708595607851,0.977062676808,0.00623095538682
53,-1.87147,9.742052,-0.0075,-0.0537554889312,-0.10272815991,0.993255894808,0.000717219888371
54,-1.62147,9.712023,-0.0375,0.113850400664,-0.0596274103236,-0.991706941695,0.00604288217028
55,-1.551523,9.742052,-0.0075,-0.171733518136,0.0376345146369,0.984424320127,0.0045581898441
56,-1.451487,9.742052,-0.0075,-0.171733518136,0.0376345146369,0.984424320127,0.0045581898441
57,-1.201487,9.702013,-0.0475,0.0213235321847,0.266528568317,-0.963591111025,0.00724332829522
58,-1.111521,9.752001,0.0025,0.0103849682572,-0.121469328089,0.992540857984,0.0150961633629
59,-0.911509,9.702013,-0.0475,-0.130789817265,0.0992107601581,-0.986433600791,0.0027345609099
60,-0.801523,9.712023,-0.0375,0.166252521171,-0.0697428553277,0.983613762274,0.00621341234282
61,-0.681467,9.662035,-0.0875,0.0864209849707,0.0331568469849,-0.995706802656,0.0280582025962
62,-0.491526,9.692003,-0.0575,-0.192394146122,0.29081081409,0.937237196737,0.000331890803711
63,-0.351511,9.712023,-0.0375,0.0314776841623,-0.183697371229,0.982478717939,0.0149837578283
64,-0.201487,9.722032,-0.0275,-0.00826582774584,-0.238001892851,0.971229517205,0.0029768671852
65,-0.021494,9.702013,-0.0475,0.0167864193763,-0.0741907980597,0.997102773844,0.00749177897256
66,0.098501,9.692003,-0.0575,-0.102949446508,0.0665515039792,0.992457711332,0.00581326566702
67,-9.651499,9.582018,-0.0175,-0.22923096549,-0.0172338875893,-0.973219480682,0.000923724935408
68,-9.531504,9.55205,-0.0475,-0.149704287276,-0.0615624095399,-0.986812391543,0.00172078927224
69,-9.361521,9.54204,-0.0575,0.0588190865774,0.0869135140267,-0.994477931446,0.012586911373
70,-9.211497,9.572008,-0.0275,-0.101753566736,-0.0831163404204,0.991331370235,0.0111596772774
71,-9.111521,9.54204,-0.0575,0.0547599926233,-0.0459289083765,0.997442669322,0.00404083523658
72,-8.921519,9.55205,-0.0475,0.0804810984723,0.149384035635,-0.985498453924,0.000877127263874
73,-8.751475,9.572008,-0.0275,0.0642686177065,0.0325535690935,0.997401528933,0.0076151794512
74,-8.581492,9.53203,-0.0675,0.190787352593,0.160943489155,0.968347757466,0.00180585201598
75,-8.471506,9.52202,-0.0775,-0.0610910687465,-0.0384108905255,0.997392843772,0.0124161014509
76,-8.321482,9.561998,-0.0375,-0.0776962979327,0.120628314002,0.989652512324,0.00908799763203
77,-8.171519,9.54204,-0.0575,-0.259860154932,-0.24534403731,-0.933958780266,0.00228196886468
78,-8.001475,9.492052,-0.1075,-0.0803169924615,-0.200195583769,-0.976458349834,0.0168868016978
79,-7.851511,9.51201,-0.0875,0.0738377013399,-0.175277565909,-0.981746285325,0.0110780646536
80,-7.631479,9.55205,-0.0475,-0.245987078171,0.194698391944,0.949517189706,0.0208419866452
81,-7.551523,9.592028,-0.0075,0.0963766151085,0.201637268549,0.97470711498,0.0334571782397
82,-7.411509,9.54204,-0.0575,0.198968641541,0.109452555114,0.973874539077,0.00790131942313
83,-7.271494,9.54204,-0.0575,0.080295602371,-0.103299794867,0.991403938171,0.00713788860895
84,-7.071482,9.582018,-0.0175,-0.382218545413,-0.0418013614702,0.923126009666,0.0310278684495
85,-6.961497,9.602037,0.0025,-0.418641670156,-0.0937737122346,0.903297095591,0.0173825645593
86,-6.771494,9.53203,-0.0675,-0.218147910463,-0.161117663012,0.962524071297,0.0020183004297
87,-6.611521,9.572008,-0.0275,0.305312495261,0.0770505543762,0.949129860613,0.0173719102204
88,-6.511484,9.55205,-0.0475,-0.237162418292,-0.253878775391,-0.937709739075,0.0092154203691
89,-6.381479,9.52202,-0.0775,-0.00875547913493,0.113788549452,0.9934664099,0.0153441923216
90,-6.181467,9.53203,-0.0675,-0.00134142541216,0.108582783244,0.99408650517,0.000826871061387
91,-6.021494,9.52202,-0.0775,-0.0288769903823,-0.155621252168,0.98739462491,0.0642624630053
92,-5.911509,9.54204,-0.0575,0.0332773461721,-0.223723247639,0.974084455629,0.0545475455287
93,-5.761484,9.561998,-0.0375,-0.141062314998,0.569304866944,0.809934189771,0.000458809302751
94,-5.611521,9.572008,-0.0275,0.280478641831,-0.458269796227,-0.843398200937,0.0120594532446
95,-5.421519,9.502001,-0.0975,0.123778840178,-0.0173075195297,-0.992158882686,0.00906069942908
96,-5.321482,9.502001,-0.0975,-0.0414397965058,0.0541765680864,0.997671109502,0.011243939396
97,-5.131479,9.51201,-0.0875,0.307048646754,-0.159033323679,-0.938312064553,0.0156042258141
98,-5.011484,9.582018,-0.0175,-0.188899343076,-0.0358651080982,0.981341292419,0.0510239499966
99,-4.861521,9.55205,-0.0475,-0.11342849072,0.0100969633082,-0.993494855963,0.00137956416663
100,-4.741526,9.55205,-0.0475,0.0124689436103,-0.199059164465,-0.979908145944,0.00378444046118
101,-4.531504,9.561998,-0.0375,0.164906661117,-0.0447183105649,0.98529491312,0.0209235475296
102,-4.411509,9.582018,-0.0175,0.301115840345,-0.00862226860275,0.953548586689,0.0237028563559
103,-4.261484,9.492052,-0.1075,-0.139303735784,-0.194685810203,-0.970923222764,0.0570753846683
104,-4.12147,9.54204,-0.0575,-0.139668101443,0.287665363156,0.947492195366,0.0180154082713
105,-3.981516,9.52202,-0.0775,-0.0327993820908,0.334137387252,0.941953505739,0.0135204683062
106,-3.801523,9.52202,-0.0775,0.333148570866,-0.370460238538,-0.867047427418,0.025233324921
107,-3.651499,9.612047,0.0125,0.489811924458,0.578864036213,0.65192078218,0.000438355383733
108,-3.511484,9.55205,-0.0475,0.0626342248064,0.128740634718,0.989698339321,0.0115331612784
109,-3.401499,9.52202,-0.0775,0.0363437537522,0.138178141996,0.989740335966,0.00928814891102
110,-3.141489,9.502001,-0.0975,0.216433650306,-0.566754151481,-0.79495044298,0.0350976793925
111,-3.061472,9.502001,-0.0975,-0.111236856243,0.581927009875,0.805597490681,0.0494362041471
112,-2.891489,9.502001,-0.0975,0.134305446169,-0.0516097694451,-0.98959510853,0.00486135148801
113,-2.761484,9.54204,-0.0575,0.0966563953726,-0.23148010655,-0.968026085137,0.0231179959322
114,-2.591501,9.54204,-0.0575,0.182407942918,-0.0567906411236,-0.981581461439,0.00602606024198
115,-2.451487,9.592028,-0.0075,0.347189459437,-0.270485858099,-0.897940354269,0.0189726188325
116,-2.281504,9.54204,-0.0575,0.0253837059116,0.0204231441905,0.999469140422,0.0262167567012
117,-2.151499,9.561998,-0.0375,0.0438224741412,0.0530610505484,-0.997629247604,0.0119272152118
118,-2.011484,9.561998,-0.0375,-0.109632446535,0.058198151656,0.992266950881,0.0060073871023
119,-1.881479,9.582018,-0.0175,-0.0537554889312,-0.10272815991,0.993255894808,0.000717219888371
120,-1.691477,9.582018,-0.0175,0.0367886179856,-0.0127126174647,0.999242206346,0.00399846897668
121,-1.581492,9.582018,-0.0175,-0.101729272167,0.121702552868,0.987339680054,0.00197836885795
122,-1.461497,9.602037,0.0025,0.0988216278525,-0.0437550526202,-0.994142736854,0.00170113417894
123,-1.211497,9.52202,-0.0775,-0.0992845251237,0.0442863636629,-0.99407308638,0.0162093451353
124,-1.101511,9.55205,-0.0475,0.0754698406574,-0.0159065698756,-0.997021205485,0.00909244293282
125,-0.961497,9.561998,-0.0375,-0.0407565616682,-0.0665235026773,-0.996952118345,0.00666764954408
126,-0.781504,9.53203,-0.0675,0.0146499407058,0.177000878055,0.984101655524,0.00741982011109
127,-0.631479,9.55205,-0.0475,0.197506184432,-0.125266845739,-0.972265151319,0.00626555087139
128,-0.541514,9.572008,-0.0275,-0.188090236529,-0.0794625358038,-0.978931952858,0.0184894967259
129,-0.391489,9.51201,-0.0875,-0.222606269297,-0.281132316144,-0.933494011598,0.0175166533442
130,-0.231516,9.502001,-0.0975,0.0242890186067,0.0888570901793,0.995748191613,0.0345215830329
131,-0.071482,9.53203,-0.0675,0.242433135782,-0.0162602537811,-0.970031844231,0.000702836321704
132,0.12853,9.561998,-0.0375,-0.102949446508,0.0665515039792,0.992457711332,0.00581326566702
133,-9.651499,9.442003,-0.0075,0.237078371286,-0.137404346904,0.961724436271,0.0061703325555
